,name
0,HiHi Jets ジャニーズ銀座2019 Tokyo Experience
1,ザ少年倶楽部（少クラ）
2,ジャニーズJr. ジャニーズ IsLAND Festival
3,ジャニーズJr.2019
4,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience
5,舞台 マラソン
6,美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!
7,舞台 GOOD PEOPLE
8,山田ジャパン HEY！ポール！
9,HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り! オープンライブ
10,美 少年 少年忍者 パパママ一番 裸の少年 夏祭り! オープンライブ
11,音楽劇 トムとジェリー 夢よもう一度
12,HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!
13,ジャニーズJr. 8・8祭り 東京ドームから始まる
14,NEWS ニュース LIVE TOUR 2019 WORLDISTA
15,Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!
16,映画 パラレルワールド・ラブストーリー 4大都市舞台挨拶
17,ミュージカル ドン・ジュアン
18,Sexy Zone セクシーゾーン LIVE TOUR 2019 PAGES
19,HAMLET ハムレット
